Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
1,1,35.0,0,1,349,5.0,1,1,1,5.0,5,5.0,5,4,2,2,3,1,5,0,0.0,1
0,1,40.0,0,0,920,1.0,1,1,1,2.0,5,4.0,4,4,4,4,5,4,5,10,3.0,1
0,1,52.0,0,0,3979,1.0,1,1,1,4.0,1,2.0,4,4,4,4,2,4,4,21,7.0,1
1,1,47.0,0,1,141,5.0,3,3,3,5.0,5,5.0,3,2,5,5,5,4,5,142,158.0,1
1,1,33.0,0,0,3153,0.0,5,0,4,3.0,3,3.0,3,3,4,1,1,2,3,0,0.0,1
0,0,23.0,0,0,1068,5.0,0,5,5,4.0,5,4.0,4,4,2,5,3,4,4,9,17.0,1
1,1,51.0,0,0,1689,1.0,1,1,1,3.0,4,4.0,4,4,4,4,5,4,3,0,0.0,1
1,1,56.0,0,0,1553,2.0,2,2,2,2.0,5,5.0,4,4,5,4,3,4,4,0,0.0,1
1,1,58.0,0,0,447,2.0,2,2,2,4.0,5,5.0,5,5,5,5,3,5,4,0,0.0,1
1,1,44.0,1,2,189,4.0,4,4,3,5.0,4,1.0,5,3,3,4,3,4,5,2,8.0,1
1,1,63.0,1,2,643,4.0,5,4,3,5.0,4,5.0,5,3,5,5,3,4,5,0,0.0,1
0,1,60.0,0,0,1721,4.0,4,4,4,5.0,4,5.0,4,4,4,4,4,4,3,0,0.0,1
1,1,51.0,0,0,442,3.0,3,3,3,5.0,4,5.0,3,3,3,3,4,3,3,0,0.0,1
1,1,34.0,0,0,2849,4.0,2,4,4,5.0,4,4.0,2,2,2,2,3,2,3,1,0.0,1
0,0,38.0,0,0,417,4.0,5,5,4,3.0,5,3.0,3,3,2,4,3,5,3,2,0.0,1
1,1,70.0,0,0,271,1.0,1,2,1,3.0,4,4.0,4,4,4,4,4,4,5,0,2.0,1
1,1,49.0,0,0,2811,3.0,4,3,3,4.0,5,4.0,5,5,5,5,5,5,4,5,0.0,1
0,1,55.0,0,0,770,1.0,1,1,1,2.0,4,5.0,5,5,5,5,3,5,3,34,40.0,1
0,1,34.0,0,0,516,4.0,4,2,4,3.0,4,4.0,5,5,5,5,4,5,4,0,0.0,1
0,1,63.0,0,1,748,2.0,4,4,4,3.0,3,3.0,2,2,2,2,5,2,1,0,0.0,1
1,1,61.0,0,1,451,3.0,3,3,3,5.0,5,5.0,5,1,5,2,2,4,5,0,0.0,1
0,0,23.0,0,0,332,5.0,2,4,2,1.0,4,1.0,1,4,2,5,4,5,1,7,0.0,1
0,1,43.0,0,0,3273,2.0,2,1,2,5.0,5,5.0,5,5,5,5,5,5,5,1,0.0,1
1,1,40.0,0,0,3177,3.0,5,5,5,4.0,5,5.0,5,5,5,5,4,5,3,0,0.0,1
0,1,28.0,0,0,1706,3.0,3,3,3,2.0,2,2.0,2,5,4,4,4,5,2,11,0.0,1
0,1,54.0,1,1,453,2.0,4,2,3,2.0,5,4.0,5,5,2,2,4,5,5,6,0.0,0
0,1,44.0,0,0,2862,2.0,2,2,2,5.0,4,5.0,5,5,5,5,3,5,3,0,0.0,1
1,1,55.0,0,0,2587,2.0,2,2,2,4.0,4,5.0,5,5,5,5,4,5,3,0,0.0,1
1,1,30.0,0,0,2573,1.0,1,1,1,4.0,4,4.0,4,4,4,5,3,4,4,0,0.0,1
1,1,29.0,0,0,3351,4.0,4,4,4,4.0,4,4.0,4,2,3,3,3,1,4,0,0.0,1
1,1,30.0,0,0,3439,1.0,1,1,1,5.0,5,5.0,5,5,5,1,5,1,5,25,18.0,1
1,1,43.0,0,0,868,3.0,2,2,2,2.0,4,4.0,4,4,4,4,4,4,3,44,25.0,1
1,1,55.0,0,0,2819,2.0,2,2,2,2.0,4,5.0,5,5,5,5,3,5,4,4,0.0,1
0,1,50.0,0,0,3291,5.0,1,5,5,2.0,4,5.0,5,5,5,5,3,5,5,0,0.0,1
1,1,57.0,0,2,404,3.0,1,1,1,3.0,3,3.0,3,3,1,2,3,2,3,0,7.0,0
0,1,49.0,0,0,473,3.0,2,2,2,1.0,2,1.0,4,4,4,4,3,4,2,0,0.0,1
1,1,41.0,0,1,2607,4.0,1,3,1,4.0,4,4.0,4,4,2,4,1,4,4,0,0.0,1
1,1,33.0,0,2,639,5.0,1,3,1,5.0,5,5.0,5,3,1,1,4,4,5,0,0.0,1
1,1,48.0,0,0,1894,3.0,5,3,3,5.0,5,5.0,5,5,5,5,5,5,5,307,299.0,1
1,1,56.0,0,0,1823,4.0,4,4,4,5.0,5,4.0,5,5,5,5,3,5,3,69,51.0,1
1,1,52.0,1,1,2165,4.0,5,3,2,1.0,3,1.0,1,3,4,5,4,5,1,0,0.0,1
0,1,41.0,0,0,373,4.0,4,4,4,3.0,5,4.0,3,3,4,3,4,3,4,5,0.0,1
1,0,22.0,0,1,1060,5.0,5,5,3,2.0,5,2.0,2,2,4,5,1,2,2,0,0.0,1
0,1,32.0,0,0,403,4.0,4,4,4,5.0,5,5.0,5,4,2,3,5,4,5,0,0.0,1
0,1,31.0,0,0,534,5.0,5,5,5,3.0,3,3.0,3,4,2,4,3,5,3,18,16.0,1
1,0,25.0,0,1,679,0.0,0,0,3,1.0,0,1.0,1,2,2,4,3,5,1,49,38.0,1
1,0,39.0,0,0,2486,1.0,1,1,2,4.0,1,4.0,4,3,3,4,5,4,4,0,0.0,0
0,1,42.0,0,0,3277,2.0,2,2,2,2.0,4,5.0,5,5,5,5,3,5,3,0,0.0,1
0,1,30.0,0,1,238,4.0,4,4,4,4.0,4,4.0,4,4,4,1,4,3,4,0,4.0,1
1,1,58.0,0,0,280,0.0,0,0,1,2.0,4,4.0,2,2,4,4,5,2,4,13,23.0,1
0,1,59.0,0,0,1572,3.0,3,3,3,2.0,4,4.0,3,3,3,3,2,3,1,9,3.0,0
1,1,51.0,0,0,1045,4.0,4,4,4,3.0,4,4.0,5,5,5,5,4,5,4,0,0.0,1
0,1,36.0,0,0,2002,3.0,3,3,3,4.0,4,5.0,5,5,5,5,4,5,4,0,0.0,1
0,1,47.0,0,0,4502,3.0,3,2,3,4.0,4,4.0,4,5,5,5,4,4,4,0,20.0,1
0,1,55.0,0,0,3980,1.0,1,3,1,4.0,4,4.0,5,5,5,5,4,5,4,0,0.0,1
1,1,51.0,0,1,542,5.0,3,3,3,5.0,5,5.0,5,5,2,2,4,3,5,8,8.0,1
0,1,51.0,0,0,1546,1.0,1,1,1,2.0,4,4.0,4,4,4,4,5,4,4,32,14.0,1
0,1,40.0,0,0,2072,5.0,5,4,5,2.0,4,5.0,4,4,4,4,3,4,4,0,0.0,1
1,1,43.0,0,0,2603,1.0,1,2,1,5.0,5,5.0,2,1,5,3,5,2,5,0,0.0,1
1,1,52.0,0,0,1590,2.0,2,2,2,3.0,4,5.0,4,4,4,4,4,4,3,30,19.0,1
0,1,49.0,0,1,1028,4.0,3,3,3,1.0,3,4.0,4,4,4,4,4,4,2,38,17.0,1
1,1,11.0,1,1,1076,5.0,3,5,3,5.0,5,5.0,5,2,4,2,4,3,5,37,28.0,1
0,1,27.0,1,1,438,3.0,2,3,2,3.0,3,3.0,3,4,3,2,4,2,3,2,0.0,0
0,1,51.0,0,0,2725,1.0,1,1,1,2.0,4,5.0,5,5,5,5,4,5,3,0,0.0,1
1,1,44.0,0,0,3957,0.0,5,0,4,2.0,4,4.0,4,4,4,2,4,4,4,0,0.0,1
0,0,24.0,0,2,881,1.0,4,1,3,5.0,1,5.0,5,3,1,3,2,2,5,2,0.0,0
0,1,52.0,0,0,2061,3.0,3,3,3,4.0,5,5.0,5,5,5,5,4,5,4,5,9.0,1
1,0,26.0,0,0,1618,3.0,3,3,1,2.0,3,2.0,2,4,2,3,5,5,2,0,0.0,0
0,1,35.0,1,1,337,5.0,4,5,4,1.0,5,4.0,1,4,4,5,5,4,1,0,5.0,1
0,1,33.0,0,0,338,3.0,3,3,3,2.0,5,5.0,4,4,4,4,4,4,4,0,0.0,1
0,1,15.0,0,0,2203,5.0,4,5,5,5.0,5,5.0,5,4,2,4,5,5,5,0,5.0,1
0,1,57.0,0,0,1416,3.0,3,3,3,5.0,4,4.0,4,4,4,4,5,4,5,0,0.0,1
0,1,46.0,0,0,1565,5.0,5,1,5,5.0,5,5.0,2,2,2,2,4,2,5,8,0.0,1
0,1,60.0,1,1,767,3.0,5,3,3,5.0,4,5.0,4,4,3,4,5,4,5,0,1.0,0
0,0,22.0,0,0,1379,5.0,0,5,1,3.0,5,3.0,3,3,4,5,3,4,3,0,5.0,1
0,1,70.0,1,1,1009,0.0,5,0,1,4.0,4,4.0,2,2,0,3,5,2,4,0,0.0,1
1,1,59.0,1,1,201,5.0,1,5,4,2.0,5,1.0,2,1,4,3,2,3,2,31,29.0,1
0,1,28.0,0,0,3125,4.0,4,4,4,4.0,4,4.0,4,3,4,5,5,5,4,45,23.0,1
0,1,27.0,0,0,2078,1.0,1,1,1,4.0,4,4.0,4,4,3,5,4,4,4,0,0.0,1
1,1,67.0,0,0,997,2.0,2,2,2,1.0,4,1.0,5,5,5,5,5,5,1,24,4.0,1
0,1,47.0,0,0,201,1.0,1,1,1,2.0,5,5.0,4,4,4,5,5,4,5,18,29.0,1
0,1,50.0,0,0,366,3.0,3,3,3,5.0,4,5.0,2,2,2,2,4,2,3,0,0.0,1
0,1,32.0,0,2,236,5.0,1,3,1,5.0,5,5.0,5,1,4,3,4,2,5,39,32.0,1
0,1,38.0,0,1,1448,3.0,4,4,4,3.0,3,3.0,3,4,2,5,2,2,3,0,0.0,1
0,1,44.0,0,0,1560,1.0,1,3,1,2.0,4,4.0,5,5,5,5,5,5,4,0,0.0,1
1,0,29.0,0,0,822,4.0,4,4,2,5.0,4,5.0,5,4,3,5,3,4,5,11,11.0,1
0,1,37.0,0,0,3455,2.0,2,2,2,2.0,3,1.0,5,5,5,5,3,5,3,0,0.0,1
0,1,45.0,1,1,335,5.0,5,5,3,3.0,4,4.0,2,2,5,2,4,2,5,0,0.0,1
1,0,22.0,0,1,541,5.0,0,5,1,3.0,5,3.0,3,3,2,4,3,5,3,45,23.0,1
0,1,47.0,0,1,1197,5.0,1,1,1,4.0,3,1.0,5,5,5,5,1,5,3,0,2.0,1
1,1,25.0,1,1,515,3.0,5,4,4,4.0,4,4.0,4,5,4,4,4,5,4,0,10.0,1
0,1,44.0,0,2,1050,5.0,1,1,1,4.0,2,2.0,5,5,5,5,1,5,1,0,0.0,1
0,1,42.0,0,0,2616,3.0,3,3,3,2.0,5,4.0,2,2,3,2,3,2,4,60,38.0,1
0,1,50.0,0,0,129,0.0,3,0,1,4.0,2,4.0,2,2,2,2,4,2,5,0,0.0,1
1,1,61.0,1,0,317,5.0,5,5,2,2.0,3,4.0,2,2,5,2,2,2,1,0,0.0,1
0,1,51.0,0,0,2400,3.0,2,2,2,2.0,2,1.0,3,3,3,3,1,3,2,0,0.0,0
1,0,22.0,0,1,2342,3.0,3,3,3,3.0,3,3.0,3,3,2,2,4,3,3,17,6.0,0
1,1,47.0,0,0,2105,0.0,5,0,1,1.0,5,5.0,4,4,1,1,4,4,3,43,40.0,1
1,1,44.0,0,0,899,5.0,5,5,5,4.0,4,4.0,4,5,4,2,4,1,4,188,203.0,1
0,1,23.0,0,0,1662,4.0,4,4,4,5.0,5,5.0,5,4,5,4,4,4,5,18,23.0,1
1,1,43.0,0,0,1608,3.0,3,5,3,2.0,2,2.0,2,5,3,3,4,4,2,26,16.0,1
0,1,19.0,0,0,2271,4.0,4,4,4,5.0,4,5.0,5,4,4,4,3,4,5,18,28.0,1
0,1,57.0,0,1,801,4.0,1,1,1,2.0,2,3.0,4,4,4,4,1,4,2,11,2.0,1
0,1,47.0,0,0,1865,3.0,3,3,3,2.0,5,5.0,5,5,5,5,3,5,4,0,0.0,1
0,1,51.0,0,0,2397,3.0,0,0,5,5.0,5,4.0,3,3,3,3,3,3,3,3,4.0,1
0,1,39.0,0,0,899,4.0,4,4,4,1.0,4,5.0,5,5,5,5,4,5,5,1,16.0,1
0,1,60.0,0,0,2236,5.0,5,5,5,3.0,4,4.0,5,5,5,5,4,5,5,1,6.0,1
1,1,56.0,0,0,2154,4.0,2,4,4,5.0,5,2.0,5,5,5,5,4,5,5,0,0.0,1
1,1,36.0,0,0,226,4.0,4,4,4,2.0,5,4.0,5,5,5,5,5,5,5,0,0.0,1
1,1,47.0,0,0,404,1.0,1,1,1,4.0,4,5.0,2,2,2,2,3,2,5,0,0.0,1
1,1,62.0,0,0,3230,3.0,3,3,3,4.0,2,1.0,4,4,4,4,1,4,5,9,9.0,1
1,1,38.0,0,1,692,5.0,5,5,5,5.0,5,5.0,5,3,2,1,2,5,5,0,0.0,1
0,1,11.0,1,0,1521,4.0,1,4,4,4.0,4,4.0,4,2,1,3,3,4,4,0,11.0,1
1,1,41.0,1,1,925,1.0,5,1,1,4.0,1,4.0,4,1,3,1,3,3,4,0,4.0,0
0,1,42.0,0,0,2701,4.0,4,4,4,5.0,4,4.0,2,4,3,5,4,1,4,0,0.0,1
1,1,44.0,0,0,748,5.0,5,5,5,5.0,1,4.0,4,4,4,4,2,4,5,0,2.0,1
1,1,53.0,0,0,302,3.0,3,3,3,1.0,3,3.0,4,4,4,4,5,4,1,5,2.0,1
